n;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14
;0.00001;0.00005;0.0001;0.00025;0.0005;0.001;0.0025;0.005;0.01;0.025;0.05;0.1;0.25;0.5
5;12.45;11.39;10.55;9.42;8.65;7.80;6.74;5.97;5.21;4.23;3.50;2.77;1.77;0.96
10;16.53;13.91;12.79;11.53;10.47;9.13;7.73;6.77;5.78;4.57;3.67;2.74;1.49;0.4
20;16.82;14.88;13.95;12.49;11.27;9.83;8.26;7.16;6.07;4.75;3.77;2.78;1.41;0.18
30;17.58;15.47;14.62;12.90;11.65;10.11;8.47;7.29;6.18;4.82;3.83;2.81;1.39;0.11
40;18.71;16.11;15.14;13.34;11.92;10.34;8.65;7.41;6.22;4.87;3.85;2.82;1.39;0.08
50;19.85;16.08;15.15;13.35;11.89;10.32;8.67;7.43;6.28;4.89;3.86;2.84;1.39;0.07
60;18.45;16.25;15.26;13.53;12.16;10.56;8.80;7.51;6.32;4.91;3.88;2.85;1.39;0.07
70;20.37;17.04;15.40;13.65;12.27;10.59;8.81;7.55;6.34;4.92;3.88;2.85;1.40;0.06
80;20.46;16.24;15.17;13.68;12.24;10.54;8.81;7.57;6.37;4.93;3.89;2.85;1.40;0.06
90;21.84;17.67;15.78;14.06;12.62;10.79;8.95;7.65;6.40;4.94;3.90;2.86;1.40;0.06
100;20.73;17.37;15.87;14.12;12.59;10.80;8.95;7.65;6.41;4.95;3.90;2.86;1.41;0.06
120;20.02;16.99;15.87;14.19;12.77;10.87;8.96;7.65;6.41;4.95;3.90;2.87;1.41;0.05
140;21.08;17.14;15.98;14.08;12.43;10.80;9.00;7.66;6.42;4.95;3.90;2.86;1.41;0.05
160;19.42;17.07;16.19;14.40;12.97;10.88;8.95;7.69;6.42;4.95;3.91;2.87;1.41;0.06
180;21.33;17.71;16.14;14.50;12.97;11.02;9.10;7.77;6.47;4.95;3.90;2.87;1.41;0.06
200;20.50;17.51;16.34;14.31;12.78;11.10;9.08;7.72;6.43;4.95;3.89;2.86;1.42;0.06
10000000;11.51;9.90;9.21;8.29;7.60;6.91;5.99;5.30;4.60;3.68;2.97;2.25;1.25;0.37
